id,Count,shape_x,shape_y,shape_z
mp-1224848,1259712,108,108,108
mp-849272,1146880,80,112,128
mp-1212058,1572864,64,128,192
mp-631365,373248,72,72,72
mp-772964,2097152,128,128,128
mp-2239929,518400,60,60,144
mp-1039612,2293760,128,128,140
mp-1205597,884736,96,96,96
mp-1179262,1179648,96,96,128
mp-1214378,3628800,80,180,252
mp-755251,1200000,100,100,120
mp-756950,1024000,80,80,160
mp-1224063,3072000,160,160,120
mp-781053,3317760,180,128,144
mp-753981,1555200,108,120,120
mp-1103664,1866240,108,108,160
mp-1204180,2949120,128,128,180
mp-1080572,1048576,128,128,64
mp-1220215,2764800,108,160,160
mp-13161,64000,40,40,40
mp-1207440,2359296,128,128,144
mp-1039707,2508800,128,140,140
mp-20836,573440,64,64,140
mp-14498,3763200,140,140,192
mp-1103261,884736,96,96,96
mp-699346,2419200,140,80,216
mp-6660,677376,84,84,96
mp-775021,3136000,100,160,196
mp-3652,2560000,160,160,100
mp-1096825,262144,64,64,64
mp-1193634,2903040,96,108,280
mp-1183316,884736,96,96,96
mp-706284,2580480,192,96,140
mp-1195201,2949120,128,128,180
mp-15059,2580480,96,140,192
mp-1247110,2073600,100,144,144
mp-1228269,1474560,96,96,160
mp-571270,1229312,56,56,392
mp-1216335,3528000,140,140,180
mp-1037200,2097152,128,128,128
mp-571538,4587520,64,64,1120
mp-2218643,884736,96,96,96
mp-1184561,373248,72,72,72
mp-570466,1474560,96,96,160
mp-1192204,2304000,48,160,300
mp-1213997,5488000,140,140,280
mp-1181321,3628800,120,140,216
mp-1194835,1492992,108,108,128
mp-1077552,512000,80,80,80
mp-1101950,884736,96,96,96
mp-20888,839808,72,108,108
mp-510370,1866240,108,108,160
mp-1213085,940800,84,80,140
mp-1104652,2116800,140,140,108
mp-1101381,286720,56,80,64
mp-1245538,806400,80,72,140
mp-30979,2949120,128,128,180
mp-5436,216000,60,60,60
mp-1027526,1881600,56,56,600
mp-1025143,307200,48,80,80
mp-1147771,216000,60,60,60
mp-1186519,512000,80,80,80
mp-6414,4096000,160,160,160
mp-557132,2949120,160,96,192
mp-2224172,774144,96,96,84
mp-1184321,884736,96,96,96
mp-1186786,2949120,96,96,320
mp-1069604,393216,64,64,96
mp-5039,2488320,72,160,216
mp-974336,259200,60,60,72
mp-1176685,3870720,144,160,168
mp-1094391,512000,80,80,80
mp-560235,3499200,108,180,180
mp-1216843,516096,56,96,96
mp-1213578,3763200,168,140,160
mp-1211662,1612800,100,96,168
mp-317,512000,80,80,80
mp-542038,3386880,168,112,180
mp-1075163,1075200,56,120,160
mp-1228904,2177280,108,120,168
mp-1103999,2985984,144,144,144
mp-1001117,221184,48,48,96
mp-1206600,1259712,108,108,108
mp-1173261,1354752,84,84,192
mp-1043471,2508800,160,140,112
mp-1078949,829440,72,72,160
mp-1245774,439040,56,56,140
mp-11107,345600,60,60,96
mp-1218413,995328,96,96,108
mp-2232139,903168,84,84,128
mp-757248,1411200,72,140,140
mp-774705,2621440,160,128,128
mp-1077463,559872,72,72,108
mp-1196402,4423680,96,160,288
mp-19101,537600,56,96,100
mp-1218798,1411200,84,84,200
mp-776867,1382400,80,80,216
mp-674349,3584000,160,160,140
mp-8975,2880000,180,100,160
mp-27396,313600,56,56,100
mp-30029,3225600,120,120,224
mp-1225743,458752,64,64,112
mp-22441,884736,96,96,96
mp-1045307,614400,80,80,96
mp-2214547,884736,96,96,96
mp-683616,3670016,128,128,224
mp-1019897,1306368,84,108,144
mp-2233030,864000,60,120,120
mp-1079245,864000,60,120,120
mp-20069,774144,96,84,96
mp-605047,4515840,128,140,252
mp-1036742,2097152,128,128,128
mp-1075030,1075200,112,120,80
mp-757854,1228800,160,80,96
mp-1201070,3211264,112,112,256
mp-23220,2116800,100,108,196
mp-1173642,4915200,160,160,192
mp-1177533,3981312,128,144,216
mp-1189012,2097152,128,128,128
mp-1222184,2580480,96,160,168
mp-35591,1000000,100,100,100
mp-5051,774144,96,96,84
mp-989472,2744000,140,140,140
mp-1102080,672000,60,100,112
mp-30216,3317760,128,120,216
mp-765640,3317760,60,192,288
mp-774915,2097152,128,128,128
